Zone Netherlands,Country,ZIP,Flow,LDM-0.4,LDM-0.8,LDM-1.2,LDM-1.6,LDM-2.0,LDM-2.4,LDM-2.8,LDM-3.2,LDM-3.6,LDM-4.0,LDM-4.4,LDM-4.8,LDM-5.2,LDM-5.6,LDM-6.0,LDM-6.4,LDM-6.8,LDM-7.2,LDM-7.6,LDM-8.0,LDM-8.4,LDM-8.8,LDM-9.2,LDM-9.6,LDM-10.0,LDM-10.4,LDM-10.8,LDM-11.2,LDM-11.6,LDM-12.0,LDM-12.4,LDM-12.8,LDM-13.2
NL,DE,1,Export,264,264,284,329,369,414,464,494,544,594,629,679,719,759,809,844,884,934,974,"1,019","1,054","1,094","1,139","1,174","1,229","1,259","1,269","1,269","1,269","1,269","1,299","1,299","1,299"
NL,DE,2,Export,264,264,299,364,404,434,494,544,574,629,669,709,764,809,844,894,949,989,"1,029","1,079","1,124","1,164","1,204","1,239","1,269","1,269","1,304","1,304","1,304","1,304","1,384","1,384","1,384"
NL,DE,3,Export,264,264,289,329,369,414,464,499,544,594,629,679,719,759,809,844,884,934,974,"1,019","1,054","1,094","1,139","1,174","1,229","1,259","1,269","1,269","1,269","1,269","1,299","1,299","1,299"
NL,DE,4,Export,264,264,279,319,354,394,424,469,499,544,584,614,659,699,729,764,809,844,879,919,949,979,"1,024","1,059","1,094","1,124","1,169","1,169","1,169","1,169","1,179","1,179","1,179"
NL,DE,6,Export,264,264,279,314,344,384,414,454,489,524,559,599,629,669,704,739,774,814,844,879,904,939,974,"1,004","1,024","1,034","1,059","1,064","1,064","1,064","1,094","1,094","1,094"
NL,DE,7,Export,264,264,279,319,354,394,424,469,499,544,584,614,659,699,729,764,809,844,879,919,949,979,"1,024","1,059","1,094","1,124","1,169","1,169","1,169","1,169","1,179","1,179","1,179"
NL,DE,8,Export,264,264,279,319,354,394,424,469,499,544,584,614,659,699,729,764,809,844,879,919,949,979,"1,024","1,059","1,094","1,124","1,169","1,169","1,169","1,169","1,179","1,179","1,179"
NL,DE,9,Export,264,264,279,319,354,394,424,469,499,544,584,614,659,699,729,764,809,844,879,919,949,979,"1,024","1,059","1,094","1,124","1,169","1,169","1,169","1,169","1,179","1,179","1,179"
NL,DE,10,Export,264,264,274,279,319,369,409,479,544,599,649,674,749,774,824,869,909,949,974,"1,004","1,019","1,044","1,074","1,094","1,124","1,139","1,149","1,164","1,179","1,204","1,234","1,234","1,234"
NL,DE,12,Export,264,264,274,279,319,369,409,479,544,599,649,674,749,774,824,869,909,949,974,"1,004","1,019","1,044","1,074","1,094","1,124","1,139","1,149","1,164","1,179","1,204","1,234","1,234","1,234"
NL,DE,13,Export,264,264,274,279,319,369,409,479,544,599,649,674,749,774,824,869,909,949,974,"1,004","1,019","1,044","1,074","1,094","1,124","1,139","1,149","1,164","1,179","1,204","1,234","1,234","1,234"
NL,DE,14,Export,264,264,279,299,329,364,409,464,529,569,614,654,709,749,794,829,879,904,934,949,949,974,"1,004","1,029","1,059","1,084","1,114","1,139","1,164","1,169","1,204","1,204","1,204"
NL,DE,15,Export,264,264,279,324,399,434,479,544,594,614,649,674,704,729,749,784,834,894,949,"1,004","1,029","1,059","1,084","1,109","1,139","1,164","1,194","1,214","1,244","1,269","1,299","1,299","1,299"
NL,DE,16,Export,264,264,279,349,409,464,519,554,594,649,664,709,749,774,814,854,909,949,969,"1,004","1,019","1,044","1,074","1,094","1,124","1,139","1,149","1,164","1,174","1,204","1,234","1,234","1,234"
NL,DE,17,Export,264,264,379,419,459,494,589,574,614,659,699,734,774,819,859,899,939,974,"1,019","1,064","1,089","1,134","1,149","1,174","1,214","1,234","1,244","1,274","1,294","1,314","1,314","1,349","1,349"
NL,DE,38,Export,264,264,279,314,344,384,414,454,489,524,559,599,629,669,704,734,774,814,844,879,899,939,974,"1,004","1,024","1,034","1,059","1,074","1,074","1,074","1,094","1,094","1,094"
NL,DE,39,Export,264,264,279,314,344,384,414,454,489,524,559,599,629,669,704,734,774,814,844,879,899,939,974,"1,004","1,024","1,034","1,059","1,074","1,074","1,074","1,094","1,094","1,094"
NL,DE,98,Export,264,264,279,314,344,384,414,454,489,524,559,599,629,669,704,734,774,814,844,879,899,939,974,"1,004","1,024","1,034","1,059","1,074","1,074","1,074","1,094","1,094","1,094"
NL,DE,99,Export,264,264,279,314,344,384,414,454,489,524,559,599,629,669,704,734,774,814,844,879,899,939,974,"1,004","1,024","1,034","1,059","1,074","1,074","1,074","1,094","1,094","1,094"