"Zone Netherlands",Country,ZIP,Flow,LDM-0.2,LDM-0.4,LDM-0.5,LDM-0.8,LDM-1.0,LDM-1.2,LDM-1.5,LDM-1.6,LDM-2.0,LDM-2.4,LDM-2.5,LDM-2.8,LDM-3.0,LDM-3.2
NL,DE,41,Export,€61.80,€68.67,€75.70,€112.16,€127.38,€155.19,€177.30,€198.91,€246.32,€295.19,€317.45,€339.70,€357.02,€374.34
NL,DE,50,Export,€61.80,€68.67,€75.70,€112.16,€127.38,€155.19,€177.30,€198.91,€246.32,€295.19,€317.45,€339.70,€357.02,€374.34
NL,DE,40,Export,€66.18,€73.53,€81.11,€120.93,€137.48,€168.41,€193.61,€217.94,€270.59,€325.20,€350.28,€375.35,€394.93,€414.51
NL,DE,47,Export,€66.18,€73.53,€81.11,€120.93,€137.48,€168.41,€193.61,€217.94,€270.59,€325.20,€350.28,€375.35,€394.93,€414.51
NL,DE,52,Export,€66.18,€73.53,€81.11,€120.93,€137.48,€168.41,€193.61,€217.94,€270.59,€325.20,€350.28,€375.35,€394.93,€414.51
NL,DE,42,Export,€68.24,€75.82,€84.19,€127.39,€144.90,€177.89,€201.89,€227.19,€280.50,€335.03,€360.20,€385.37,€406.47,€427.56
NL,DE,45,Export,€71.64,€79.60,€88.14,€133.10,€151.52,€186.43,€215.80,€243.19,€303.35,€365.13,€393.69,€422.25,€444.88,€467.50
NL,DE,28,Export,€76.35,€84.83,€94.86,€143.31,€164.81,€202.24,€234.21,€262.48,€326.03,€391.48,€422.00,€452.52,€477.71,€502.89
NL,DE,33,Export,€76.35,€84.83,€94.86,€143.31,€164.81,€202.24,€234.21,€262.48,€326.03,€391.48,€422.00,€452.52,€477.71,€502.89
NL,DE,35,Export,€76.35,€84.83,€94.86,€143.31,€164.81,€202.24,€234.21,€262.48,€326.03,€391.48,€422.00,€452.52,€477.71,€502.89
NL,DE,44,Export,€76.35,€84.83,€94.86,€143.31,€164.81,€202.24,€234.21,€262.48,€326.03,€391.48,€422.00,€452.52,€477.71,€502.89
NL,DE,46,Export,€76.35,€84.83,€94.86,€143.31,€164.81,€202.24,€234.21,€262.48,€326.03,€391.48,€422.00,€452.52,€477.71,€502.89
NL,DE,48,Export,€76.35,€84.83,€94.86,€143.31,€164.81,€202.24,€234.21,€262.48,€326.03,€391.48,€422.00,€452.52,€477.71,€502.89
NL,DE,51,Export,€76.35,€84.83,€94.86,€143.31,€164.81,€202.24,€234.21,€262.48,€326.03,€391.48,€422.00,€452.52,€477.71,€502.89
NL,DE,56,Export,€76.35,€84.83,€94.86,€143.31,€164.81,€202.24,€234.21,€262.48,€326.03,€391.48,€422.00,€452.52,€477.71,€502.89
NL,DE,58,Export,€76.35,€84.83,€94.86,€143.31,€164.81,€202.24,€234.21,€262.48,€326.03,€391.48,€422.00,€452.52,€477.71,€502.89
NL,DE,59,Export,€76.35,€84.83,€94.86,€143.31,€164.81,€202.24,€234.21,€262.48,€326.03,€391.48,€422.00,€452.52,€477.71,€502.89
NL,DE,68,Export,€76.35,€84.83,€94.86,€143.31,€164.81,€202.24,€234.21,€262.48,€326.03,€391.48,€422.00,€452.52,€477.71,€502.89
NL,DE,34,Export,€79.78,€88.64,€99.35,€149.96,€173.18,€212.50,€247.92,€277.45,€345.29,€415.37,€448.17,€480.96,€507.86,€534.76
NL,DE,53,Export,€79.78,€88.64,€99.35,€149.96,€173.18,€212.50,€247.92,€277.45,€345.29,€415.37,€448.17,€480.96,€507.86,€534.76
NL,DE,60,Export,€79.78,€88.64,€99.35,€149.96,€173.18,€212.50,€247.92,€277.45,€345.29,€415.37,€448.17,€480.96,€507.86,€534.76
NL,DE,61,Export,€79.78,€88.64,€99.35,€149.96,€173.18,€212.50,€247.92,€277.45,€345.29,€415.37,€448.17,€480.96,€507.86,€534.76
NL,DE,63,Export,€79.78,€88.64,€99.35,€149.96,€173.18,€212.50,€247.92,€277.45,€345.29,€415.37,€448.17,€480.96,€507.86,€534.76
NL,DE,66,Export,€79.78,€88.64,€99.35,€149.96,€173.18,€212.50,€247.92,€277.45,€345.29,€415.37,€448.17,€480.96,€507.86,€534.76
NL,DE,69,Export,€79.78,€88.64,€99.35,€149.96,€173.18,€212.50,€247.92,€277.45,€345.29,€415.37,€448.17,€480.96,€507.86,€534.76
NL,DE,20,Export,€82.97,€92.19,€103.73,€156.78,€181.71,€222.79,€260.88,€291.35,€362.70,€436.45,€471.08,€505.71,€534.34,€562.97
NL,DE,30,Export,€82.97,€92.19,€103.73,€156.78,€181.71,€222.79,€260.88,€291.35,€362.70,€436.45,€471.08,€505.71,€534.34,€562.97
NL,DE,31,Export,€82.97,€92.19,€103.73,€156.78,€181.71,€222.79,€260.88,€291.35,€362.70,€436.45,€471.08,€505.71,€534.34,€562.97
NL,DE,32,Export,€82.97,€92.19,€103.73,€156.78,€181.71,€222.79,€260.88,€291.35,€362.70,€436.45,€471.08,€505.71,€534.34,€562.97
NL,DE,49,Export,€82.97,€92.19,€103.73,€156.78,€181.71,€222.79,€260.88,€291.35,€362.70,€436.45,€471.08,€505.71,€534.34,€562.97
NL,DE,64,Export,€82.97,€92.19,€103.73,€156.78,€181.71,€222.79,€260.88,€291.35,€362.70,€436.45,€471.08,€505.71,€534.34,€562.97
NL,DE,65,Export,€82.97,€92.19,€103.73,€156.78,€181.71,€222.79,€260.88,€291.35,€362.70,€436.45,€471.08,€505.71,€534.34,€562.97
NL,DE,67,Export,€82.97,€92.19,€103.73,€156.78,€181.71,€222.79,€260.88,€291.35,€362.70,€436.45,€471.08,€505.71,€534.34,€562.97
NL,DE,70,Export,€82.97,€92.19,€103.73,€156.78,€181.71,€222.79,€260.88,€291.35,€362.70,€436.45,€471.08,€505.71,€534.34,€562.97
NL,DE,74,Export,€82.97,€92.19,€103.73,€156.78,€181.71,€222.79,€260.88,€291.35,€362.70,€436.45,€471.08,€505.71,€534.34,€562.97
NL,DE,76,Export,€82.97,€92.19,€103.73,€156.78,€181.71,€222.79,€260.88,€291.35,€362.70,€436.45,€471.08,€505.71,€534.34,€562.97
NL,DE,21,Export,€85.76,€95.29,€107.60,€162.80,€189.25,€231.78,€271.95,€303.13,€377.82,€454.52,€490.62,€526.72,€556.87,€587.02
NL,DE,22,Export,€85.76,€95.29,€107.60,€162.80,€189.25,€231.78,€271.95,€303.13,€377.82,€454.52,€490.62,€526.72,€556.87,€587.02
NL,DE,27,Export,€85.76,€95.29,€107.60,€162.80,€189.25,€231.78,€271.95,€303.13,€377.82,€454.52,€490.62,€526.72,€556.87,€587.02
NL,DE,36,Export,€85.76,€95.29,€107.60,€162.80,€189.25,€231.78,€271.95,€303.13,€377.82,€454.52,€490.62,€526.72,€556.87,€587.02
NL,DE,37,Export,€85.76,€95.29,€107.60,€162.80,€189.25,€231.78,€271.95,€303.13,€377.82,€454.52,€490.62,€526.72,€556.87,€587.02
NL,DE,55,Export,€85.76,€95.29,€107.60,€162.80,€189.25,€231.78,€271.95,€303.13,€377.82,€454.52,€490.62,€526.72,€556.87,€587.02
NL,DE,71,Export,€85.76,€95.29,€107.60,€162.80,€189.25,€231.78,€271.95,€303.13,€377.82,€454.52,€490.62,€526.72,€556.87,€587.02
NL,DE,75,Export,€85.76,€95.29,€107.60,€162.80,€189.25,€231.78,€271.95,€303.13,€377.82,€454.52,€490.62,€526.72,€556.87,€587.02
NL,DE,90,Export,€85.76,€95.29,€107.60,€162.80,€189.25,€231.78,€271.95,€303.13,€377.82,€454.52,€490.62,€526.72,€556.87,€587.02
NL,DE,97,Export,€85.76,€95.29,€107.60,€162.80,€189.25,€231.78,€271.95,€303.13,€377.82,€454.52,€490.62,€526.72,€556.87,€587.02
NL,DE,99,Export,€85.76,€95.29,€107.60,€162.80,€189.25,€231.78,€271.95,€303.13,€377.82,€454.52,€490.62,€526.72,€556.87,€587.02
NL,DE,4,Export,€90.86,€100.96,€113.77,€171.03,€198.96,€244.34,€288.07,€321.80,€402.51,€485.81,€525.09,€564.37,€596.72,€629.06
NL,DE,7,Export,€90.86,€100.96,€113.77,€171.03,€198.96,€244.34,€288.07,€321.80,€402.51,€485.81,€525.09,€564.37,€596.72,€629.06
NL,DE,26,Export,€90.86,€100.96,€113.77,€171.03,€198.96,€244.34,€288.07,€321.80,€402.51,€485.81,€525.09,€564.37,€596.72,€629.06
NL,DE,29,Export,€90.86,€100.96,€113.77,€171.03,€198.96,€244.34,€288.07,€321.80,€402.51,€485.81,€525.09,€564.37,€596.72,€629.06
NL,DE,38,Export,€90.86,€100.96,€113.77,€171.03,€198.96,€244.34,€288.07,€321.80,€402.51,€485.81,€525.09,€564.37,€596.72,€629.06
NL,DE,39,Export,€90.86,€100.96,€113.77,€171.03,€198.96,€244.34,€288.07,€321.80,€402.51,€485.81,€525.09,€564.37,€596.72,€629.06
NL,DE,54,Export,€90.86,€100.96,€113.77,€171.03,€198.96,€244.34,€288.07,€321.80,€402.51,€485.81,€525.09,€564.37,€596.72,€629.06
NL,DE,72,Export,€90.86,€100.96,€113.77,€171.03,€198.96,€244.34,€288.07,€321.80,€402.51,€485.81,€525.09,€564.37,€596.72,€629.06
NL,DE,73,Export,€90.86,€100.96,€113.77,€171.03,€198.96,€244.34,€288.07,€321.80,€402.51,€485.81,€525.09,€564.37,€596.72,€629.06
NL,DE,77,Export,€90.86,€100.96,€113.77,€171.03,€198.96,€244.34,€288.07,€321.80,€402.51,€485.81,€525.09,€564.37,€596.72,€629.06
NL,DE,86,Export,€90.86,€100.96,€113.77,€171.03,€198.96,€244.34,€288.07,€321.80,€402.51,€485.81,€525.09,€564.37,€596.72,€629.06
NL,DE,89,Export,€90.86,€100.96,€113.77,€171.03,€198.96,€244.34,€288.07,€321.80,€402.51,€485.81,€525.09,€564.37,€596.72,€629.06
NL,DE,91,Export,€90.86,€100.96,€113.77,€171.03,€198.96,€244.34,€288.07,€321.80,€402.51,€485.81,€525.09,€564.37,€596.72,€629.06
NL,DE,93,Export,€90.86,€100.96,€113.77,€171.03,€198.96,€244.34,€288.07,€321.80,€402.51,€485.81,€525.09,€564.37,€596.72,€629.06
NL,DE,98,Export,€90.86,€100.96,€113.77,€171.03,€198.96,€244.34,€288.07,€321.80,€402.51,€485.81,€525.09,€564.37,€596.72,€629.06
NL,DE,1,Export,€95.44,€106.04,€120.33,€181.42,€212.31,€259.92,€308.51,€342.86,€428.52,€517.10,€559.06,€601.02,€635.84,€670.65
NL,DE,6,Export,€95.44,€106.04,€120.33,€181.42,€212.31,€259.92,€308.51,€342.86,€428.52,€517.10,€559.06,€601.02,€635.84,€670.65
NL,DE,8,Export,€95.44,€106.04,€120.33,€181.42,€212.31,€259.92,€308.51,€342.86,€428.52,€517.10,€559.06,€601.02,€635.84,€670.65
NL,DE,10,Export,€95.44,€106.04,€120.33,€181.42,€212.31,€259.92,€308.51,€342.86,€428.52,€517.10,€559.06,€601.02,€635.84,€670.65
NL,DE,12,Export,€95.44,€106.04,€120.33,€181.42,€212.31,€259.92,€308.51,€342.86,€428.52,€517.10,€559.06,€601.02,€635.84,€670.65
NL,DE,15,Export,€95.44,€106.04,€120.33,€181.42,€212.31,€259.92,€308.51,€342.86,€428.52,€517.10,€559.06,€601.02,€635.84,€670.65
NL,DE,19,Export,€95.44,€106.04,€120.33,€181.42,€212.31,€259.92,€308.51,€342.86,€428.52,€517.10,€559.06,€601.02,€635.84,€670.65
NL,DE,23,Export,€95.44,€106.04,€120.33,€181.42,€212.31,€259.92,€308.51,€342.86,€428.52,€517.10,€559.06,€601.02,€635.84,€670.65
NL,DE,24,Export,€95.44,€106.04,€120.33,€181.42,€212.31,€259.92,€308.51,€342.86,€428.52,€517.10,€559.06,€601.02,€635.84,€670.65
NL,DE,25,Export,€95.44,€106.04,€120.33,€181.42,€212.31,€259.92,€308.51,€342.86,€428.52,€517.10,€559.06,€601.02,€635.84,€670.65
NL,DE,78,Export,€95.44,€106.04,€120.33,€181.42,€212.31,€259.92,€308.51,€342.86,€428.52,€517.10,€559.06,€601.02,€635.84,€670.65
NL,DE,80,Export,€95.44,€106.04,€120.33,€181.42,€212.31,€259.92,€308.51,€342.86,€428.52,€517.10,€559.06,€601.02,€635.84,€670.65
NL,DE,92,Export,€95.44,€106.04,€120.33,€181.42,€212.31,€259.92,€308.51,€342.86,€428.52,€517.10,€559.06,€601.02,€635.84,€670.65
NL,DE,9,Export,€98.84,€109.82,€124.05,€186.15,€217.09,€266.26,€315.43,€351.81,€440.79,€532.73,€576.32,€619.90,€655.70,€691.49
NL,DE,13,Export,€98.84,€109.82,€124.05,€186.15,€217.09,€266.26,€315.43,€351.81,€440.79,€532.73,€576.32,€619.90,€655.70,€691.49
NL,DE,14,Export,€98.84,€109.82,€124.05,€186.15,€217.09,€266.26,€315.43,€351.81,€440.79,€532.73,€576.32,€619.90,€655.70,€691.49
NL,DE,79,Export,€98.84,€109.82,€124.05,€186.15,€217.09,€266.26,€315.43,€351.81,€440.79,€532.73,€576.32,€619.90,€655.70,€691.49
NL,DE,81,Export,€98.84,€109.82,€124.05,€186.15,€217.09,€266.26,€315.43,€351.81,€440.79,€532.73,€576.32,€619.90,€655.70,€691.49
NL,DE,85,Export,€98.84,€109.82,€124.05,€186.15,€217.09,€266.26,€315.43,€351.81,€440.79,€532.73,€576.32,€619.90,€655.70,€691.49
NL,DE,88,Export,€98.84,€109.82,€124.05,€186.15,€217.09,€266.26,€315.43,€351.81,€440.79,€532.73,€576.32,€619.90,€655.70,€691.49
NL,DE,96,Export,€98.84,€109.82,€124.05,€186.15,€217.09,€266.26,€315.43,€351.81,€440.79,€532.73,€576.32,€619.90,€655.70,€691.49
NL,DE,2,Export,€106.20,€118.00,€132.28,€195.30,€227.36,€280.74,€334.26,€375.32,€475.02,€577.51,€626.13,€674.75,€713.46,€752.16
NL,DE,84,Export,€106.20,€118.00,€132.28,€195.30,€227.36,€280.74,€334.26,€375.32,€475.02,€577.51,€626.13,€674.75,€713.46,€752.16
NL,DE,87,Export,€106.20,€118.00,€132.28,€195.30,€227.36,€280.74,€334.26,€375.32,€475.02,€577.51,€626.13,€674.75,€713.46,€752.16
NL,DE,3,Export,€111.29,€123.65,€138.66,€202.73,€235.08,€288.39,€345.04,€386.29,€489.40,€595.86,€646.43,€696.99,€736.82,€776.65
NL,DE,16,Export,€111.29,€123.65,€138.66,€202.73,€235.08,€288.39,€345.04,€386.29,€489.40,€595.86,€646.43,€696.99,€736.82,€776.65
NL,DE,82,Export,€111.29,€123.65,€138.66,€202.73,€235.08,€288.39,€345.04,€386.29,€489.40,€595.86,€646.43,€696.99,€736.82,€776.65
NL,DE,83,Export,€111.29,€123.65,€138.66,€202.73,€235.08,€288.39,€345.04,€386.29,€489.40,€595.86,€646.43,€696.99,€736.82,€776.65
NL,DE,94,Export,€111.29,€123.65,€138.66,€202.73,€235.08,€288.39,€345.04,€386.29,€489.40,€595.86,€646.43,€696.99,€736.82,€776.65
NL,DE,95,Export,€111.29,€123.65,€138.66,€202.73,€235.08,€288.39,€345.04,€386.29,€489.40,€595.86,€646.43,€696.99,€736.82,€776.65
NL,DE,17,Export,€122.11,€135.68,€154.47,€230.33,€269.29,€328.08,€392.29,€435.34,€548.12,€664.18,€718.85,€773.52,€820.17,€866.81
NL,DE,18,Export,€143.31,€159.23,€178.18,€247.46,€282.89,€336.09,€400.59,€440.13,€568.64,€699.70,€753.75,€807.80,€858.26,€908.71
