Zone Netherlands,Country,ZIP,Flow,LDM-0.4,LDM-0.5,LDM-0.8,LDM-1.0,LDM-1.2,LDM-1.5,LDM-1.6,LDM-2.0,LDM-2.4,LDM-2.5,LDM-2.8,LDM-3.0,LDM-3.2,LDM-3.5,LDM-3.6,LDM-4.0,LDM-4.4,LDM-4.5,LDM-4.8,LDM-5.0,LDM-5.2,LDM-5.6,LDM-6.0,LDM-6.5,LDM-6.8,LDM-7.2,LDM-7.6,LDM-8.0,LDM-8.5,LDM-8.8,LDM-9.2,LDM-9.6,LDM-10.0,LDM-10.5,LDM-10.8,LDM-11.2,LDM-11.6,LDM-12.0,LDM-12.4,LDM-12.8,LDM-13.6
NL,FR,2,Import,€141,€146,€153,€158,€164,€179,€181,€198,€220,€222,€232,€245,€247,€252,€258,€267,€279,€290,€296,€304,€314,€324,€337,€346,€356,€381,€393,€403,€412,€426,€434,€443,€453,€461,€469,€478,€487,€496,€506,€513,€528
NL,FR,59,Import,€141,€146,€153,€158,€164,€179,€181,€198,€220,€222,€232,€245,€247,€252,€258,€267,€279,€290,€296,€304,€314,€324,€337,€346,€356,€381,€393,€403,€412,€426,€434,€443,€453,€461,€469,€478,€487,€496,€506,€513,€528
NL,FR,62,Import,€141,€146,€153,€158,€164,€179,€181,€198,€220,€222,€232,€245,€247,€252,€258,€267,€279,€290,€296,€304,€314,€324,€337,€346,€356,€381,€393,€403,€412,€426,€434,€443,€453,€461,€469,€478,€487,€496,€506,€513,€528
NL,FR,8,Import,€155,€166,€175,€180,€187,€210,€215,€231,€259,€260,€283,€292,€297,€315,€319,€326,€338,€352,€375,€392,€404,€418,€431,€445,€457,€471,€484,€497,€510,€524,€534,€546,€556,€567,€578,€589,€602,€613,€622,€635,€645
NL,FR,54,Import,€155,€166,€175,€180,€187,€210,€215,€231,€259,€260,€283,€292,€297,€315,€319,€326,€338,€352,€375,€392,€404,€418,€431,€445,€457,€471,€484,€497,€510,€524,€534,€546,€556,€567,€578,€589,€602,€613,€622,€635,€645
NL,FR,57,Import,€155,€166,€175,€180,€187,€210,€215,€231,€259,€260,€283,€292,€297,€315,€319,€326,€338,€352,€375,€392,€404,€418,€431,€445,€457,€471,€484,€497,€510,€524,€534,€546,€556,€567,€578,€589,€602,€613,€622,€635,€645
NL,FR,60,Import,€155,€166,€175,€180,€187,€210,€215,€231,€259,€260,€283,€292,€297,€315,€319,€326,€338,€352,€375,€392,€404,€418,€431,€445,€457,€471,€484,€497,€510,€524,€534,€546,€556,€567,€578,€589,€602,€613,€622,€635,€645
NL,FR,80,Import,€155,€166,€175,€180,€187,€210,€215,€231,€259,€260,€283,€292,€297,€315,€319,€326,€338,€352,€375,€392,€404,€418,€431,€445,€457,€471,€484,€497,€510,€524,€534,€546,€556,€567,€578,€589,€602,€613,€622,€635,€645
NL,FR,76,Import,€162,€170,€179,€190,€199,€217,€224,€242,€270,€273,€297,€309,€314,€329,€335,€342,€355,€371,€390,€410,€424,€437,€452,€464,€478,€491,€505,€519,€533,€548,€558,€570,€580,€594,€606,€616,€629,€640,€650,€662,€676
NL,FR,77,Import,€162,€170,€179,€190,€199,€217,€224,€242,€270,€273,€297,€309,€314,€329,€335,€342,€355,€371,€390,€410,€424,€437,€452,€464,€478,€491,€505,€519,€533,€548,€558,€570,€580,€594,€606,€616,€629,€640,€650,€662,€676
NL,FR,78,Import,€162,€170,€179,€190,€199,€217,€224,€242,€270,€273,€297,€309,€314,€329,€335,€342,€355,€371,€390,€410,€424,€437,€452,€464,€478,€491,€505,€519,€533,€548,€558,€570,€580,€594,€606,€616,€629,€640,€650,€662,€676
NL,FR,91,Import,€162,€170,€179,€190,€199,€217,€224,€242,€270,€273,€297,€309,€314,€329,€335,€342,€355,€371,€390,€410,€424,€437,€452,€464,€478,€491,€505,€519,€533,€548,€558,€570,€580,€594,€606,€616,€629,€640,€650,€662,€676
NL,FR,92,Import,€162,€170,€179,€190,€199,€217,€224,€242,€270,€273,€297,€309,€314,€329,€335,€342,€355,€371,€390,€410,€424,€437,€452,€464,€478,€491,€505,€519,€533,€548,€558,€570,€580,€594,€606,€616,€629,€640,€650,€662,€676
NL,FR,93,Import,€162,€170,€179,€190,€199,€217,€224,€242,€270,€273,€297,€309,€314,€329,€335,€342,€355,€371,€390,€410,€424,€437,€452,€464,€478,€491,€505,€519,€533,€548,€558,€570,€580,€594,€606,€616,€629,€640,€650,€662,€676
NL,FR,94,Import,€162,€170,€179,€190,€199,€217,€224,€242,€270,€273,€297,€309,€314,€329,€335,€342,€355,€371,€390,€410,€424,€437,€452,€464,€478,€491,€505,€519,€533,€548,€558,€570,€580,€594,€606,€616,€629,€640,€650,€662,€676
NL,FR,95,Import,€162,€170,€179,€190,€199,€217,€224,€242,€270,€273,€297,€309,€314,€329,€335,€342,€355,€371,€390,€410,€424,€437,€452,€464,€478,€491,€505,€519,€533,€548,€558,€570,€580,€594,€606,€616,€629,€640,€650,€662,€676
NL,FR,10,Import,€185,€193,€202,€211,€217,€235,€241,€259,€297,€299,€308,€320,€322,€337,€350,€365,€379,€391,€404,€420,€433,€446,€462,€474,€491,€505,€527,€543,€567,€588,€610,€632,€645,€658,€667,€677,€690,€700,€711,€722,€729
NL,FR,27,Import,€185,€193,€202,€211,€217,€235,€241,€259,€297,€299,€308,€320,€322,€337,€350,€365,€379,€391,€404,€420,€433,€446,€462,€474,€491,€505,€527,€543,€567,€588,€610,€632,€645,€658,€667,€677,€690,€700,€711,€722,€729
NL,FR,28,Import,€185,€193,€202,€211,€217,€235,€241,€259,€297,€299,€308,€320,€322,€337,€350,€365,€379,€391,€404,€420,€433,€446,€462,€474,€491,€505,€527,€543,€567,€588,€610,€632,€645,€658,€667,€677,€690,€700,€711,€722,€729
NL,FR,51,Import,€185,€193,€202,€211,€217,€235,€241,€259,€297,€299,€308,€320,€322,€337,€350,€365,€379,€391,€404,€420,€433,€446,€462,€474,€491,€505,€527,€543,€567,€588,€610,€632,€645,€658,€667,€677,€690,€700,€711,€722,€729
NL,FR,52,Import,€185,€193,€202,€211,€217,€235,€241,€259,€297,€299,€308,€320,€322,€337,€350,€365,€379,€391,€404,€420,€433,€446,€462,€474,€491,€505,€527,€543,€567,€588,€610,€632,€645,€658,€667,€677,€690,€700,€711,€722,€729
NL,FR,52,Import,€185,€193,€202,€211,€217,€235,€241,€259,€297,€299,€308,€320,€322,€337,€350,€365,€379,€391,€404,€420,€433,€446,€462,€474,€491,€505,€527,€543,€567,€588,€610,€632,€645,€658,€667,€677,€690,€700,€711,€722,€729
NL,FR,55,Import,€185,€193,€202,€211,€217,€235,€241,€259,€297,€299,€308,€320,€322,€337,€350,€365,€379,€391,€404,€420,€433,€446,€462,€474,€491,€505,€527,€543,€567,€588,€610,€632,€645,€658,€667,€677,€690,€700,€711,€722,€729
NL,FR,67,Import,€185,€193,€202,€211,€217,€235,€241,€259,€297,€299,€308,€320,€322,€337,€350,€365,€379,€391,€404,€420,€433,€446,€462,€474,€491,€505,€527,€543,€567,€588,€610,€632,€645,€658,€667,€677,€690,€700,€711,€722,€729
NL,FR,75,Import,€185,€193,€202,€211,€217,€235,€241,€259,€297,€299,€308,€320,€322,€337,€350,€365,€379,€391,€404,€420,€433,€446,€462,€474,€491,€505,€527,€543,€567,€588,€610,€632,€645,€658,€667,€677,€690,€700,€711,€722,€729
NL,FR,88,Import,€185,€193,€202,€211,€217,€235,€241,€259,€297,€299,€308,€320,€322,€337,€350,€365,€379,€391,€404,€420,€433,€446,€462,€474,€491,€505,€527,€543,€567,€588,€610,€632,€645,€658,€667,€677,€690,€700,€711,€722,€729
NL,FR,89,Import,€185,€193,€202,€211,€217,€235,€241,€259,€297,€299,€308,€320,€322,€337,€350,€365,€379,€391,€404,€420,€433,€446,€462,€474,€491,€505,€527,€543,€567,€588,€610,€632,€645,€658,€667,€677,€690,€700,€711,€722,€729
NL,FR,14,Import,€190,€214,€251,€270,€276,€295,€299,€350,€390,€393,€406,€421,€428,€435,€443,€452,€461,€491,€505,€510,€515,€529,€541,€576,€592,€606,€619,€635,€650,€666,€676,€691,€703,€717,€731,€743,€762,€774,€792,€800,€804
NL,FR,21,Import,€190,€214,€251,€270,€276,€295,€299,€350,€390,€393,€406,€421,€428,€435,€443,€452,€461,€491,€505,€510,€515,€529,€541,€576,€592,€606,€619,€635,€650,€666,€676,€691,€703,€717,€731,€743,€762,€774,€792,€800,€804
NL,FR,25,Import,€190,€214,€251,€270,€276,€295,€299,€350,€390,€393,€406,€421,€428,€435,€443,€452,€461,€491,€505,€510,€515,€529,€541,€576,€592,€606,€619,€635,€650,€666,€676,€691,€703,€717,€731,€743,€762,€774,€792,€800,€804
NL,FR,39,Import,€190,€214,€251,€270,€276,€295,€299,€350,€390,€393,€406,€421,€428,€435,€443,€452,€461,€491,€505,€510,€515,€529,€541,€576,€592,€606,€619,€635,€650,€666,€676,€691,€703,€717,€731,€743,€762,€774,€792,€800,€804
NL,FR,41,Import,€190,€214,€251,€270,€276,€295,€299,€350,€390,€393,€406,€421,€428,€435,€443,€452,€461,€491,€505,€510,€515,€529,€541,€576,€592,€606,€619,€635,€650,€666,€676,€691,€703,€717,€731,€743,€762,€774,€792,€800,€804
NL,FR,45,Import,€190,€214,€251,€270,€276,€295,€299,€350,€390,€393,€406,€421,€428,€435,€443,€452,€461,€491,€505,€510,€515,€529,€541,€576,€592,€606,€619,€635,€650,€666,€676,€691,€703,€717,€731,€743,€762,€774,€792,€800,€804
NL,FR,58,Import,€190,€214,€251,€270,€276,€295,€299,€350,€390,€393,€406,€421,€428,€435,€443,€452,€461,€491,€505,€510,€515,€529,€541,€576,€592,€606,€619,€635,€650,€666,€676,€691,€703,€717,€731,€743,€762,€774,€792,€800,€804
NL,FR,68,Import,€190,€214,€251,€270,€276,€295,€299,€350,€390,€393,€406,€421,€428,€435,€443,€452,€461,€491,€505,€510,€515,€529,€541,€576,€592,€606,€619,€635,€650,€666,€676,€691,€703,€717,€731,€743,€762,€774,€792,€800,€804
NL,FR,70,Import,€190,€214,€251,€270,€276,€295,€299,€350,€390,€393,€406,€421,€428,€435,€443,€452,€461,€491,€505,€510,€515,€529,€541,€576,€592,€606,€619,€635,€650,€666,€676,€691,€703,€717,€731,€743,€762,€774,€792,€800,€804
NL,FR,72,Import,€190,€214,€251,€270,€276,€295,€299,€350,€390,€393,€406,€421,€428,€435,€443,€452,€461,€491,€505,€510,€515,€529,€541,€576,€592,€606,€619,€635,€650,€666,€676,€691,€703,€717,€731,€743,€762,€774,€792,€800,€804
NL,FR,90,Import,€190,€214,€251,€270,€276,€295,€299,€350,€390,€393,€406,€421,€428,€435,€443,€452,€461,€491,€505,€510,€515,€529,€541,€576,€592,€606,€619,€635,€650,€666,€676,€691,€703,€717,€731,€743,€762,€774,€792,€800,€804
NL,FR,18,Import,€199,€229,€252,€282,€292,€317,€324,€362,€403,€407,€417,€431,€436,€445,€458,€468,€485,€496,€510,€524,€536,€550,€562,€581,€598,€620,€640,€645,€655,€666,€683,€720,€737,€752,€774,€791,€811,€825,€838,€857,€866
NL,FR,36,Import,€199,€229,€252,€282,€292,€317,€324,€362,€403,€407,€417,€431,€436,€445,€458,€468,€485,€496,€510,€524,€536,€550,€562,€581,€598,€620,€640,€645,€655,€666,€683,€720,€737,€752,€774,€791,€811,€825,€838,€857,€866
NL,FR,37,Import,€199,€229,€252,€282,€292,€317,€324,€362,€403,€407,€417,€431,€436,€445,€458,€468,€485,€496,€510,€524,€536,€550,€562,€581,€598,€620,€640,€645,€655,€666,€683,€720,€737,€752,€774,€791,€811,€825,€838,€857,€866
NL,FR,44,Import,€199,€229,€252,€282,€292,€317,€324,€362,€403,€407,€417,€431,€436,€445,€458,€468,€485,€496,€510,€524,€536,€550,€562,€581,€598,€620,€640,€645,€655,€666,€683,€720,€737,€752,€774,€791,€811,€825,€838,€857,€866
NL,FR,49,Import,€199,€229,€252,€282,€292,€317,€324,€362,€403,€407,€417,€431,€436,€445,€458,€468,€485,€496,€510,€524,€536,€550,€562,€581,€598,€620,€640,€645,€655,€666,€683,€720,€737,€752,€774,€791,€811,€825,€838,€857,€866
NL,FR,50,Import,€199,€229,€252,€282,€292,€317,€324,€362,€403,€407,€417,€431,€436,€445,€458,€468,€485,€496,€510,€524,€536,€550,€562,€581,€598,€620,€640,€645,€655,€666,€683,€720,€737,€752,€774,€791,€811,€825,€838,€857,€866
NL,FR,53,Import,€199,€229,€252,€282,€292,€317,€324,€362,€403,€407,€417,€431,€436,€445,€458,€468,€485,€496,€510,€524,€536,€550,€562,€581,€598,€620,€640,€645,€655,€666,€683,€720,€737,€752,€774,€791,€811,€825,€838,€857,€866
NL,FR,61,Import,€199,€229,€252,€282,€292,€317,€324,€362,€403,€407,€417,€431,€436,€445,€458,€468,€485,€496,€510,€524,€536,€550,€562,€581,€598,€620,€640,€645,€655,€666,€683,€720,€737,€752,€774,€791,€811,€825,€838,€857,€866
NL,FR,71,Import,€199,€229,€252,€282,€292,€317,€324,€362,€403,€407,€417,€431,€436,€445,€458,€468,€485,€496,€510,€524,€536,€550,€562,€581,€598,€620,€640,€645,€655,€666,€683,€720,€737,€752,€774,€791,€811,€825,€838,€857,€866
NL,FR,1,Import,€213,€243,€260,€283,€299,€329,€333,€382,€431,€435,€443,€457,€453,€464,€472,€483,€492,€514,€525,€537,€549,€564,€577,€620,€639,€652,€686,€694,€701,€709,€727,€767,€785,€801,€825,€843,€866,€878,€894,€914,€945
NL,FR,3,Import,€213,€243,€260,€283,€299,€329,€333,€382,€431,€435,€443,€457,€453,€464,€472,€483,€492,€514,€525,€537,€549,€564,€577,€620,€639,€652,€686,€694,€701,€709,€727,€767,€785,€801,€825,€843,€866,€878,€894,€914,€945
NL,FR,35,Import,€213,€243,€260,€283,€299,€329,€333,€382,€431,€435,€443,€457,€453,€464,€472,€483,€492,€514,€525,€537,€549,€564,€577,€620,€639,€652,€686,€694,€701,€709,€727,€767,€785,€801,€825,€843,€866,€878,€894,€914,€945
NL,FR,79,Import,€213,€243,€260,€283,€299,€329,€333,€382,€431,€435,€443,€457,€453,€464,€472,€483,€492,€514,€525,€537,€549,€564,€577,€620,€639,€652,€686,€694,€701,€709,€727,€767,€785,€801,€825,€843,€866,€878,€894,€914,€945
